Age,Mmort,Mlives,MLE,Fmort,Flives,FLE
54,0.007456,89940,25.68,0.004318,94143,29.14
55,0.007975,89270,24.87,0.004619,93737,28.27
56,0.008551,88558,24.06,0.004965,93304,27.40
57,0.009174,87800,23.26,0.005366,92841,26.53
58,0.009848,86995,22.48,0.005830,92342,25.67
59,0.010584,86138,21.69,0.006358,91804,24.82
60,0.011407,85227,20.92,0.006961,91220,23.97
61,0.012315,84254,20.16,0.007624,90585,23.14
62,0.013289,83217,19.40,0.008322,89895,22.31
63,0.014326,82111,18.66,0.009046,89147,21.49
64,0.015453,80935,17.92,0.009822,88340,20.69
65,0.016723,79684,17.19,0.010698,87473,19.89
66,0.018154,78351,16.48,0.011702,86537,19.10
67,0.019732,76929,15.77,0.012832,85524,18.32
68,0.021468,75411,15.08,0.014103,84427,17.55
69,0.023387,73792,14.40,0.015526,83236,16.79
70,0.025579,72066,13.73,0.017163,81944,16.05
71,0.028032,70223,13.08,0.018987,80537,15.32
72,0.030665,68254,12.44,0.020922,79008,14.61
73,0.033467,66161,11.82,0.022951,77355,13.91
74,0.036519,63947,11.21,0.025147,75580,13.22
75,0.040010,61612,10.62,0.027709,73679,12.55
76,0.043987,59147,10.04,0.030659,71638,11.90
77,0.048359,56545,9.48,0.033861,69441,11.26
78,0.053140,53811,8.94,0.037311,67090,10.63
79,0.058434,50951,8.41,0.041132,64587,10.03
80,0.064457,47974,7.90,0.045561,61930,9.43
81,0.071259,44882,7.41,0.050698,59109,8.86
82,0.078741,41683,6.94,0.056486,56112,8.31
83,0.086923,38401,6.49,0.062971,52942,7.77
84,0.095935,35063,6.06,0.070259,49608,7.26
85,0.105937,31699,5.65,0.078471,46123,6.77
86,0.117063,28341,5.26,0.087713,42504,6.31
87,0.129407,25024,4.89,0.098064,38776,5.87
88,0.143015,21785,4.55,0.109578,34973,5.45
89,0.157889,18670,4.22,0.122283,31141,5.06
90,0.174013,15722,3.92,0.136190,27333,4.69
91,0.191354,12986,3.64,0.151300,23610,4.36
92,0.209867,10501,3.38,0.167602,20038,4.04
93,0.229502,8297,3.15,0.185078,16680,3.76
94,0.250198,6393,2.93,0.203700,13593,3.50
95,0.270750,4794,2.75,0.222541,10824,3.26
96,0.290814,3496,2.58,0.241317,8415,3.05
97,0.310029,2479,2.44,0.259716,6384,2.87
98,0.328021,1711,2.30,0.277409,4726,2.70
99,0.344422,1149,2.19,0.294054,3415,2.54
100,0.361644,754,2.07,0.311697,2411,2.39
101,0.379726,481,1.96,0.330399,1659,2.25
102,0.398712,298,1.85,0.350223,1111,2.11
103,0.418648,179,1.75,0.371236,722,1.98
104,0.439580,104,1.66,0.393510,454,1.86
105,0.461559,58,1.56,0.417121,275,1.74
106,0.484637,31,1.47,0.442148,160,1.62
107,0.508869,16,1.39,0.468677,90,1.52
108,0.534312,8,1.30,0.496798,48,1.41
109,0.561028,4,1.22,0.526605,24,1.31
110,0.589079,2,1.15,0.558202,11,1.22
111,0.618533,1,1.07,0.591694,5,1.13
112,0.649460,0,1.00,0.627196,2,1.05
113,0.681933,0,0.94,0.664827,1,0.97
114,0.716029,0,0.87,0.704717,0,0.89
115,0.751831,0,0.81,0.747000,0,0.82
116,0.789422,0,0.75,0.789422,0,0.75
117,0.828894,0,0.70,0.828894,0,0.70
118,0.870338,0,0.64,0.870338,0,0.64
119,0.913855,0,0.59,0.913855,0,0.59
